-0.15354,0.14771,-1.6104
-0.15354,0.14771,-1.6104
-0.15355,0.14771,-1.6104
-0.15356,0.1477,-1.6104
-0.15359,0.14769,-1.6105
-0.15362,0.14767,-1.6105
-0.15365,0.14764,-1.6105
-0.15367,0.14762,-1.6105
-0.15368,0.14759,-1.6105
-0.15367,0.14757,-1.6105
-0.15365,0.14755,-1.6106
-0.15361,0.14754,-1.6106
-0.15356,0.14754,-1.6106
-0.1535,0.14754,-1.6106
-0.15345,0.14755,-1.6106
-0.15339,0.14758,-1.6106
-0.15333,0.14761,-1.6106
-0.15329,0.14766,-1.6106
-0.15325,0.14773,-1.6107
-0.15322,0.1478,-1.6107
-0.15321,0.14788,-1.6107
-0.15321,0.14796,-1.6108
-0.15322,0.14804,-1.6108
-0.15326,0.14811,-1.6109
-0.1533,0.14817,-1.6109
-0.15337,0.14821,-1.611
-0.15344,0.14824,-1.6111
-0.15353,0.14825,-1.6111
-0.15364,0.14825,-1.6112
-0.15375,0.14825,-1.6113
-0.15387,0.14825,-1.6113
-0.15399,0.14826,-1.6114
-0.15411,0.14826,-1.6114
-0.15423,0.14827,-1.6115
-0.15435,0.14827,-1.6115
-0.15447,0.14828,-1.6115
-0.15459,0.14827,-1.6116
-0.15469,0.14826,-1.6116
-0.15479,0.14824,-1.6116
-0.15487,0.14822,-1.6116
-0.15494,0.14821,-1.6116
-0.15497,0.14821,-1.6116
-0.15499,0.14823,-1.6116
-0.15497,0.14827,-1.6116
-0.15493,0.14833,-1.6117
-0.15486,0.14841,-1.6117
-0.15478,0.14849,-1.6117
-0.1547,0.14858,-1.6117
-0.15461,0.14866,-1.6117
-0.15454,0.14872,-1.6118
-0.15449,0.14876,-1.6118
-0.15445,0.14878,-1.6118
-0.15443,0.14879,-1.6118
-0.15443,0.14879,-1.6118
-0.15444,0.14879,-1.6118
-0.15446,0.1488,-1.6118
-0.15449,0.14882,-1.6118
-0.15453,0.14885,-1.6118
-0.15457,0.14888,-1.6119
-0.15462,0.14892,-1.6119
-0.15467,0.14896,-1.612
-0.15473,0.149,-1.612
-0.15479,0.14903,-1.612
